Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Ford Mustang Mach E,489,0,0.00,"2,113",0,0.00
Honda Odyssey,452,760,-40.53,"2,090","2,534",-17.52
Chevrolet Blazer,334,401,-16.71,"1,989","1,598",24.47
Audi A5,431,284,51.76,"1,842","1,148",60.45
Volvo XC40,289,184,57.07,"1,829",826,121.43
Buick Envision,414,195,112.31,"1,811",886,104.40
Cadillac XT4,294,298,-1.34,"1,805","1,344",34.30
Nissan Versa,410,0,0.00,"1,802",0,0.00
Mercedes-Benz Sprinter,156,365,-57.26,"1,778","1,627",9.28
Porsche Macan,355,220,61.36,"1,764",855,106.32
Ford EcoSport,285,408,-30.15,"1,757","2,569",-31.61
Chevrolet Trax,284,405,-29.88,"1,732","1,746",-0.80
Subaru Ascent,394,269,46.47,"1,726","1,025",68.39
Subaru Impreza,362,619,-41.52,"1,724","2,259",-23.68
Cadillac Escalade,343,146,134.93,"1,694",669,153.21
Jeep Gladiator,299,488,-38.73,"1,694","2,264",-25.18
Hyundai Sonata,428,269,59.11,"1,678","1,177",42.57
Land Rover Range Rover Sport,282,195,44.62,"1,657","1,195",38.66
Ford E-Series,328,206,59.22,"1,654","1,596",3.63
BMW X1,347,139,149.64,"1,616",910,77.58
Nissan NV200,330,188,75.53,"1,587",833,90.52
Honda Ridgeline,260,333,-21.92,"1,582","1,487",6.39
Audi Q7,303,190,59.47,"1,554",888,75.00
Subaru Impreza WRX,308,273,12.82,"1,548","1,082",43.07
Hyundai Ioniq,233,330,-29.39,"1,538","1,775",-13.35
Lexus UX,360,133,170.68,"1,525",887,71.93
GMC Savana,214,339,-36.87,"1,509","2,091",-27.83
Mercedes-Benz GLB,234,136,72.06,"1,474",670,120.00
Mini Cooper,301,274,9.85,"1,444","1,023",41.15
Ford Transit Connect,293,261,12.26,"1,434","1,390",3.17
Nissan Pathfinder,162,312,-48.08,"1,421","1,593",-10.80
Volvo XC90,205,199,3.02,"1,398",831,68.23
Kia Carnival,981,0,0.00,"1,380",0,0.00
Lexus IS,263,63,317.46,"1,361",451,201.77
Ram ProMaster,213,238,-10.50,"1,309","1,834",-28.63
Dodge Charger,224,55,307.27,"1,297",631,105.55
Mercedes-Benz GLA-Class,196,60,226.67,"1,291",405,218.77
