"Month","Month LY","Change","YTD","YTD LY","YTD Change","VehicleMake","VehicleModel"
505,0,0.0,2297,0,"0.00","TOYOTA","VENZA"
376,318,18.24,2242,2277,"-1.54","JEEP","COMPASS"
397,209,89.95,2206,1342,"64.38","GMC","ACADIA"
489,0,0.0,2113,0,"0.00","FORD","MUSTANG MACH E"
452,760,-40.53,2090,2534,"-17.52","HONDA","ODYSSEY"
334,401,-16.71,1989,1598,"24.47","CHEVROLET","BLAZER"
431,284,51.76,1842,1148,"60.45","AUDI","A5"
289,184,57.07,1829,826,"121.43","VOLVO","XC40"
414,195,112.31,1811,886,"104.40","BUICK","ENVISION"
294,298,-1.34,1805,1344,"34.30","CADILLAC","XT4"
410,0,0.0,1802,0,"0.00","NISSAN","VERSA"
156,365,-57.26,1778,1627,"9.28","MERCEDES-BENZ","SPRINTER"
355,220,61.36,1764,855,"106.32","PORSCHE","MACAN"
285,408,-30.15,1757,2569,"-31.61","FORD","ECOSPORT"
284,405,-29.88,1732,1746,"-0.80","CHEVROLET","TRAX"
394,269,46.47,1726,1025,"68.39","SUBARU","ASCENT"
362,619,-41.52,1724,2259,"-23.68","SUBARU","IMPREZA"
343,146,134.93,1694,669,"153.21","CADILLAC","ESCALADE"
299,488,-38.73,1694,2264,"-25.18","JEEP","GLADIATOR"
428,269,59.11,1678,1177,"42.57","HYUNDAI","SONATA"
282,195,44.62,1657,1195,"38.66","LAND","ROVER RANGE ROVER SPORT"
328,206,59.22,1654,1596,"3.63","FORD","E-SERIES"
347,139,149.64,1616,910,"77.58","BMW","X1"
330,188,75.53,1587,833,"90.52","NISSAN","NV200"
260,333,-21.92,1582,1487,"6.39","HONDA","RIDGELINE"
303,190,59.47,1554,888,"75.00","AUDI","Q7"
308,273,12.82,1548,1082,"43.07","SUBARU","IMPREZA WRX"
233,330,-29.39,1538,1775,"-13.35","HYUNDAI","IONIQ"
360,133,170.68,1525,887,"71.93","LEXUS","UX"
214,339,-36.87,1509,2091,"-27.83","GMC","SAVANA"
234,136,72.06,1474,670,"120.00","MERCEDES-BENZ","GLB"
301,274,9.85,1444,1023,"41.15","MINI","COOPER"
293,261,12.26,1434,1390,"3.17","FORD","TRANSIT CONNECT"
162,312,-48.08,1421,1593,"-10.80","NISSAN","PATHFINDER"
205,199,3.02,1398,831,"68.23","VOLVO","XC90"
981,0,0.0,1380,0,"0.00","KIA","CARNIVAL"
263,63,317.46,1361,451,"201.77","LEXUS","IS"
213,238,-10.5,1309,1834,"-28.63","RAM","PROMASTER"
